name,location,ratings,cost,cuisine,cost category
Kanti Sweets,"Yeshwanthpur,Bangalore",4.3,150,Sweets,High
M GRILL,"Yeshwanthpur,Bangalore",4,300,"Grill,Tandoor",High
Cafe Coffee Day,"Yeshwanthpur,Bangalore",4.1,300,"Beverages,Snacks",High
Mamma Rotti Family Restaurant,"Yeshwanthpur,Bangalore",3.7,400,"North Indian,Chinese",High
The Dessert Zone,"Yeshwanthpur,Bangalore",4,200,"Bakery,Desserts",Medium
7 star Ambur Dum Biriyani,"Yeshwanthpur,Bangalore",3.6,250,Biryani,Medium
Athiti Grand,"Yeshwanthpur,Bangalore",4,200,"Indian,North Indian",Medium
Malgudi's Donne Biriyani.,"Yeshwanthpur,Bangalore",4.2,300,Biryani,Medium
Canteen Central by Eatfit,"Yeshwanthpur,Bangalore",4.1,350,"Pizzas,American",Medium
Burger It Up,"Yeshwanthpur,Bangalore",4.3,150,"American,Fast Food",High
Bhavani Vada Pav,"Yeshwanthpur,Bangalore",3.8,100,"Maharashtrian,Snacks",Low
AB s-Absolute Barbecues,"Yeshwanthpur,Bangalore",3.3,400,"Barbecue,Italian",High
Hotel Aasare,"Yeshwanthpur,Bangalore",4.3,300,"Biryani,South Indian",High
Smoodies & Juices: Yours Fruitfully,"Yeshwanthpur,Bangalore",3.7,140,"Snacks,Healthy Food",High
Burger It Up,"Geddalahalli,Bangalore",4.2,150,"American,Fast Food",High
Leon Grill,"Geddalahalli,Bangalore",4.2,200,"American,Turkish",Low
Calcutta victoria chat house,"Geddalahalli,Bangalore",3.6,200,"Chaat,North Indian",High
Thalassery Restaurant,"Geddalahalli,Bangalore",4.1,300,"South Indian,Arabian",High
Snack House,"Geddalahalli,Bangalore",4,300,"Fast Food,Street Food",High
Paratha Lounge,"Geddalahalli,Bangalore",4.5,200,Indian,Medium
Nandhana Palace,"Geddalahalli,Bangalore",4.2,500,Andhra,High
PAANOOR RESTAURANT & CAFE,"Geddalahalli,Bangalore",3.8,250,"Indian,Chinese",Medium
Sri Devi Vaibhav,"Geddalahalli,Bangalore",4.2,200,"South Indian,North Indian",High
19 Galli Foods,"Geddalahalli,Bangalore",4.3,150,"South Indian,Chinese",Medium
KFC,"Geddalahalli,Bangalore",3.9,400,"American,Snacks",High
New Krishna Sagar Fast Food,"Geddalahalli,Bangalore",4.1,500,"Chinese,South Indian",High
BOX8 - Desi Meals,"Geddalahalli,Bangalore",3.9,250,"North Indian,Biryani",Medium
Chikpet Donne Biriyani House,"Geddalahalli,Bangalore",3.9,300,Biryani,Medium
Five Star Chicken,"Geddalahalli,Bangalore",4.4,300,Fast Food,Medium
Anand Sweets and Savouries,"Geddalahalli,Bangalore",4.4,150,"Sweets,North Indian",High
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Geddalahalli,Bangalore",4.3,250,"Beverages,Desserts",Low
The Yellow Tree,"Geddalahalli,Bangalore",4.1,700,"Continental,Desserts",High
K C Das Thanisandra,"Geddalahalli,Bangalore",3.9,150,"Indian,Sweets",High
Udupi Sannidhi Grand,"Geddalahalli,Bangalore",3.9,200,South Indian,Low
PANDIT CHAT HOUSE,"Geddalahalli,Bangalore",3.4,200,"Indian,Snacks",Medium
Sundae Everyday Ice Creams,"Geddalahalli,Bangalore",4.1,150,"Ice Cream,Desserts",Medium
My Little China,"Geddalahalli,Bangalore",3.8,250,"Chinese,North Indian",High
Gopaljee Cafe,"Koramangala,Bangalore",4.2,350,"Indian,North Indian",High
NOTO Healthy Ice Cream,"Koramangala,Bangalore",4.3,250,Ice Cream,Medium
Khawa Karpo,"Koramangala,Bangalore",4.5,178,Chinese,High
Lazeez,"Koramangala,Bangalore",4.3,500,"North Indian,Mughlai",Low
ITC Sunfeast Baked Creations,"Koramangala,Bangalore",4.6,600,"Bakery,Desserts",Medium
ITC Master Chef Creations,"Koramangala,Bangalore",4.4,650,"North Indian,Biryani",High
Miami Waffles & Jawbreakers,"Koramangala,Bangalore",4.3,200,"Waffle,Desserts",High
ITC Fabelle Chocolates,"Koramangala,Bangalore",4.8,600,"Bakery,Desserts",Medium
The Baker's Dozen,"Koramangala,Bangalore",4.3,300,"Bakery,Desserts",High
Tharavadu,"Koramangala,Bangalore",3.6,300,"Kerala,Seafood",High
SMOOR,"Koramangala,Bangalore",4.3,350,"Desserts,Ice Cream",High
Hari Super Sandwich,"Koramangala,Bangalore",4.3,300,"Fast Food,Snacks",High
MTR,"Koramangala,Bangalore",4.3,300,South Indian,High
Maa Di Hatti,"Koramangala,Bangalore",3.8,150,"North Indian,Punjabi",Medium
Soul Rasa,"Koramangala,Bangalore",4.4,500,"Indian,Healthy Food",High
Burger It Up,"Koramangala,Bangalore",4.2,150,"American,Fast Food",Medium
154 Breakfast Club,"Koramangala,Bangalore",4.4,1000,"Continental,American",High
The Corner Of Chow,"Koramangala,Bangalore",3.9,200,"Chinese,Snacks",High
RNR Biryani - Taste of 1953,"Koramangala,Bangalore",4.2,350,"Biryani,South Indian",High
Goodness Grills,"Koramangala,Bangalore",4,350,"Healthy Food,Continental",High
Home Plate by EatFit,"Koramangala,Bangalore",4.1,160,"North Indian,Home Food",High
Potful - Claypot Biryanis,"Koramangala,Bangalore",4.2,350,"Biryani,Kebabs",Low
Taiki,"Koramangala,Bangalore",4,1000,"Pan-Asian,Japanese",Medium
Sera's Cuisine,"Koramangala,Bangalore",4,300,"Indian,Biryani",High
Hot Momo Darjeeling Style,"Koramangala,Bangalore",4.2,250,Chinese,Medium
McDonald's,"Koramangala,Bangalore",4.3,400,"Burgers,Beverages",High
RF Cake and Flowers,"Koramangala,Bangalore",3.6,200,Bakery,High
Chaat Street Express,"Koramangala,Bangalore",4,150,"Snacks,Chaat",High
Puliyogare Palace,"Koramangala,Bangalore",3.5,200,South Indian,Low
Chinese Wok (Wok Express),"Koramangala,Bangalore",3.8,250,"Chinese,Asian",High
Domino's Pizza,"Koramangala,Bangalore",4.3,400,Pizzas,Medium
Sharief Bhai,"Koramangala,Bangalore",4,400,"Biryani,North Indian",High
Frosty Frills,"Koramangala,Bangalore",4.7,100,"Desserts,Ice Cream",Medium
Lassi  Shop,"Koramangala,Bangalore",4,200,"Beverages,Snacks",Low
Leon Grill,"Koramangala,Bangalore",4.4,300,"American,Snacks",Medium
The Licious Kitchen,"Koramangala,Bangalore",4,350,"Kebabs,Snacks",Medium
The Mangalorean,"Koramangala,Bangalore",4.1,600,"Mangalorean,Seafood",Medium
Toscano's Crafted Cakes and Desserts,"Koramangala,Bangalore",3.5,600,"Desserts,Bakery",High
Mainland China,"Koramangala,Bangalore",4,650,"Chinese,Asian",High
Lassi Corner,"Koramangala,Bangalore",2.5,199,"Beverages,Ice Cream",High
Wheat Barn,"Koramangala,Bangalore",4.2,450,"Pizzas,Desserts",High
Garage Food Company,"Koramangala,Bangalore",4.5,250,"Chinese,Desserts",Medium
Hotel Empire,"Koramangala,Bangalore",4,450,"North Indian,Kebabs",Medium
Tibbs Frankie,"Koramangala,Bangalore",4.1,175,Street Food,High
Dindigul Thalappakatti,"Koramangala,Bangalore",4,600,"Biryani,Barbecue",High
XO Belgian Waffle,"Koramangala,Bangalore",4.3,250,Desserts,High
Wow! Momo,"Koramangala,Bangalore",3.7,300,"Tibetan,Healthy Food",Medium
Dande's Hyderabad Biryani,"Koramangala,Bangalore",2.5,350,"Biryani,Andhra",High
Midnight Mania,"Koramangala,Bangalore",4.1,300,"Pizzas,Continental",High
Chai Point,"Koramangala,Bangalore",4.4,150,"Bakery,Beverages",Medium
Bamey's Restro Cafe,"Koramangala,Bangalore",4.5,400,"Chinese,Thai",Low
Chuckling Chinese,"Koramangala,Bangalore",4.1,300,Chinese,High
Krispy Kreme,"Koramangala,Bangalore",4.5,170,"Desserts,Beverages",Medium
Aubree,"Koramangala,Bangalore",4.1,700,"Desserts,Bakery",Low
Keventers - Milkshakes and Desserts,"Koramangala,Bangalore",4.2,300,"Beverages,Ice Cream",High
Simply South by YummyEats,"Koramangala,Bangalore",3.5,250,"Biryani,Indian",Medium
Thottathil Restaurant,"Koramangala,Bangalore",3.8,200,South Indian,Medium
V Cafe - Meals By PVR,"Koramangala,Bangalore",3.5,400,"Pizzas,Snacks",Medium
Biryani Khazana,"Koramangala,Bangalore",4.2,400,"Biryani,Indian",Medium
CHEESECAKE AND CO,"Koramangala,Bangalore",4.6,250,Bakery,Medium
Chickpet donne biriyani house,"Koramangala,Bangalore",4,250,Biryani,Medium
FICO,"Koramangala,Bangalore",3.9,300,"Pizzas,Desserts",High
Nadan Pothichoru,"Koramangala,Bangalore",3.7,200,"South Indian,Kerala",Medium
Wakka Makka Chinese,"Koramangala,Bangalore",3.9,250,"Tibetan,Chinese",Medium
Brownie Heaven,"Koramangala,Bangalore",4.4,350,Desserts,Medium
Friends Euro Restaurant,"Koramangala,Bangalore",4,599,"Chinese,Continental",High
Lucknowee,"Koramangala,Bangalore",4,600,"North Indian,Biryani",High
Tandoor Hut,"Koramangala,Bangalore",4.3,300,"Biryani,Chinese",High
Anand Sweets and Savouries,"Koramangala,Bangalore",4.4,300,"Sweets,Snacks",High
Anjappar,"Koramangala,Bangalore",3.9,600,"Chettinad,Thalis",Medium
Royal Calcutta Restaurant,"Koramangala,Bangalore",3.8,178,"Bengali,Chinese",High
Blue Tokai Coffee Roasters,"Koramangala,Bangalore",4.4,800,"Healthy Food,Pastas",Low
Salad Matters,"Koramangala,Bangalore",4.4,550,"Salads,Healthy Food",High
McDonald's,"JP Nagar,Bangalore",4.1,400,"Burgers,Beverages",High
Cake N Chef,"JP Nagar,Bangalore",4,200,"Bakery,Desserts",Medium
Nagarjuna,"JP Nagar,Bangalore",4.4,600,"Andhra,South Indian",Medium
DESI CURRY      asal desi swaad,"JP Nagar,Bangalore",3.4,200,"North Indian,Indian",High
Ninan's Steakhouse,"JP Nagar,Bangalore",4,500,"Pizzas,Barbecue",Medium
Coco Island,"JP Nagar,Bangalore",4.6,200,"Desserts,Ice Cream",Medium
Dindigul Thalappakatti,"JP Nagar,Bangalore",3.5,550,"Biryani,Barbecue",Medium
Funky Punjab,"JP Nagar,Bangalore",3.9,350,"Punjabi,North Indian",High
Subway,"JP Nagar,Bangalore",4.1,350,"Salads,Snacks",High
Ultimate Biryanis,"JP Nagar,Bangalore",3.8,300,"Biryani,Hyderabadi",High
Daily Sushi,"JP Nagar,Bangalore",4.1,700,"Korean,Japanese",High
Ibaco,"JP Nagar,Bangalore",4.5,800,Desserts,High
Pind Da Paratha,"JP Nagar,Bangalore",4.6,250,"North Indian,Desserts",High
Beijing Bites,"JP Nagar,Bangalore",4.2,450,Chinese,Medium
Hummus Club Blr,"JP Nagar,Bangalore",4.6,239,"Mediterranean,Arabian",High
Kundana Andhrastyle family restaurant,"JP Nagar,Bangalore",3.6,400,"Andhra,Biryani",Medium
Mainland China,"JP Nagar,Bangalore",4.2,850,"Chinese,Asian",Medium
Oven Story Pizza,"JP Nagar,Bangalore",3.9,400,"Pizzas,Italian",High
Jayanagara Donne Biryani,"JP Nagar,Bangalore",4.3,300,"Biryani,South Indian",Medium
Samosa Party,"JP Nagar,Bangalore",4.4,100,"Chaat,North Indian",High
Express Kitchen,"JP Nagar,Bangalore",4.3,300,"Indian,Tandoor",Low
The Bowl Company,"JP Nagar,Bangalore",4.3,300,"Continental,North Indian",Medium
Taco Bell,"JP Nagar,Bangalore",4.1,300,Mexican,High
KFC,"JP Nagar,Bangalore",3.8,400,"American,Snacks",High
Auntie Fung's,"JP Nagar,Bangalore",3.8,600,"Chinese,Thai",High
Holige Mane,"JP Nagar,Bangalore",4.5,200,Sweets,High
Tandoor and Spice,"JP Nagar,Bangalore",4.3,300,"Biryani,Tandoor",High
Ande ka funda,"JP Nagar,Bangalore",3.8,250,"North Indian,Chinese",Medium
Asha Sweet Center,"JP Nagar,Bangalore",4.4,100,"Sweets,Desserts",Medium
Mad Momos,"JP Nagar,Bangalore",3.9,150,"Chinese,Tibetan",Low
DRS Cloud Kitchen,"JP Nagar,Bangalore",4.1,450,"Bengali,North Indian",High
SN Refreshments,"JP Nagar,Bangalore",4.5,100,South Indian,Medium
Cakewala,"JP Nagar,Bangalore",4.4,450,Desserts,Low
Truffles,"JP Nagar,Bangalore",4.4,350,"American,Continental",Medium
Living Bowls,"JP Nagar,Bangalore",4.5,500,"Salads,Continental",High
ATH - All Things Healthy!,"JP Nagar,Bangalore",4.3,200,"Healthy Food,Indian",High
Spice Up,"JP Nagar,Bangalore",4.3,400,"North Indian,Chinese",Medium
Shree Udupi Grand,"JP Nagar,Bangalore",3.9,300,"Chinese,South Indian",Medium
CALL A CAKE,"JP Nagar,Bangalore",3.5,160,"Bakery,Desserts",Medium
Naividyam Veg,"JP Nagar,Bangalore",4.3,150,"South Indian,North Indian",Low
Donne Biryani Dream House,"JP Nagar,Bangalore",3.5,199,"Biryani,Chinese",Low
Wack Waffle & Brownies,"JP Nagar,Bangalore",4.8,250,"Waffle,Desserts",High
Flavor's Season,"JP Nagar,Bangalore",4.1,150,Chinese,High
Sweet Truth - Cake and Desserts,"JP Nagar,Bangalore",3.6,450,"Bakery,Desserts",Low
Hunger Camp,"JP Nagar,Bangalore",3.7,600,"North Indian,Chinese",High
Shanthi Sagar,"JP Nagar,Bangalore",3.7,300,"North Indian,Chinese",High
Checkpost,"JP Nagar,Bangalore",4.2,500,"Chinese,South Indian",High
The Soya Chaap Co.,"JP Nagar,Bangalore",4,400,"Punjabi,Snacks",High
Friendly Neighbourhood Pizza-Man,"JP Nagar,Bangalore",4.3,180,"Pizzas,Ice Cream",High
Shuddh Desi Khana,"JP Nagar,Bangalore",4,350,"North Indian,Chinese",Low
Namma Kudla,"JP Nagar,Bangalore",4.3,350,"Coastal,Seafood",Medium
Kabab Magic,"JP Nagar,Bangalore",4.1,250,"North Indian,Chinese",High
Get Set Eat BY Bansal's,"JP Nagar,Bangalore",4,350,"North Indian,Chinese",High
SPARROW BITES,"JP Nagar,Bangalore",3.1,199,"Chinese,Indian",Medium
UDUPI UPAHAR,"JP Nagar,Bangalore",4.3,300,Indian,Low
B2H - Biryani 2 Home,"JP Nagar,Bangalore",3.6,399,"Biryani,South Indian",Medium
Levels Pub & Kitchen,"JP Nagar,Bangalore",4.5,500,"Indian,Chinese",Medium
Taiki,"JP Nagar,Bangalore",4,800,"Pan-Asian,Japanese",High
Anand Sweets and Savouries,"JP Nagar,Bangalore",4.4,300,"Sweets,Chaat",High
HOTEL PRASHANTH,"JP Nagar,Bangalore",4.1,499,"South Indian,Andhra",High
Chaiffee Cafe,"JP Nagar,Bangalore",3.7,200,"Beverages,Snacks",High
K C DAS,"JP Nagar,Bangalore",4.2,100,Sweets,High
Udupi Kai Ruchi,"JP Nagar,Bangalore",4.3,100,"South Indian,Indian",Low
1947 Restaurant,"JP Nagar,Bangalore",4.1,500,"North Indian,Chinese",Low
UBQ by Barbeque Nation,"JP Nagar,Bangalore",3.9,300,"North Indian,Barbecue",High
Go Native,"JP Nagar,Bangalore",4.2,600,"Healthy Food,Jain",High
SRI VENKATESHWARA NORTH KARNATAKA JOLADA ROTI HOTEL,"JP Nagar,Bangalore",4.3,150,Indian,High
Inchara Hotel And Fine Dining Restaurant,"JP Nagar,Bangalore",4.4,600,"Indian,Chinese",High
Ministry of Ice Creams,"JP Nagar,Bangalore",3.9,200,Ice Cream,High
KARAVALI FISH MAGIC,"JP Nagar,Bangalore",4.3,250,"South Indian,Chinese",High
The Pump House,"JP Nagar,Bangalore",4.2,800,"Continental,Italian",High
Shanghai Court,"JP Nagar,Bangalore",4.3,450,"Chinese,Thai",High
Shyamji's Chole Bhature,"JP Nagar,Bangalore",4.2,300,"North Indian,Snacks",Medium
FlyingKombucha,"JP Nagar,Bangalore",4.3,300,"Beverages,Healthy Food",High
GetAWhey - Healthy Ice creams.,"JP Nagar,Bangalore",4.6,250,"Ice Cream,Healthy Food",Medium
Amritsari Kulcha Land,"JP Nagar,Bangalore",3.9,199,"North Indian,Punjabi",High
MAM - My Aunty Mane,"JP Nagar,Bangalore",3.5,200,"South Indian,North Eastern",Low
SMOOR,"JP Nagar,Bangalore",4.3,600,"Asian,Desserts",Medium
Milano Ice Cream,"JP Nagar,Bangalore",4.4,200,"Ice Cream,Desserts",High
Asian Cucina,"JP Nagar,Bangalore",4.1,350,"Chinese,Asian",High
Pasta Street,"JP Nagar,Bangalore",4.3,900,"Italian,Pastas",High
Good Fettle - Healthy Ice Cream,"JP Nagar,Bangalore",4,300,Ice Cream,High
Tiwari's Ghee Paratha & Chaat,"JP Nagar,Bangalore",3.6,200,"Desserts,Beverages",High
Hari Super Sandwich,"JP Nagar,Bangalore",4.1,100,Indian,High
Street Kitchen By Mandi Pure Veg,"JP Nagar,Bangalore",4,150,"Snacks,Chaat",Low
JUST CREAMERY - Artisanal Healthy Ice Cream,"JP Nagar,Bangalore",5,200,"Ice Cream,Beverages",Low
"Lubov Patisserie - Cakes, Macarons and Desserts","JP Nagar,Bangalore",4.1,500,"Bakery,Desserts",High
Punjabi Chaska,"JP Nagar,Bangalore",3.8,200,"Punjabi,North Indian",Medium
Hotel Empire,"JP Nagar,Bangalore",4,450,"North Indian,Kebabs",Medium
Thayee Touch,"JP Nagar,Bangalore",4.2,500,"Indian,Chinese",High
Banashankari Donne Biryani,"JP Nagar,Bangalore",3.6,199,"Biryani,South Indian",Medium
Pallavi Restaurant (Authentic taste from Gulbarga),"JP Nagar,Bangalore",4.3,250,"Chinese,North Indian",Low
Shaan-e-Punjab,"JP Nagar,Bangalore",3.9,350,"North Indian,Punjabi",High
Apsara Ice Creams,"JP Nagar,Bangalore",4.6,150,"Ice Cream,Desserts",High
TUK TUK,"JP Nagar,Bangalore",4.2,300,"Snacks,Tandoor",High
Rajvardhan Foods,"JP Nagar,Bangalore",4.2,250,Maharashtrian,High
Third Wave Coffee,"JP Nagar,Bangalore",4.2,400,"Beverages,Bakery",Medium
NH1 Bowls - Highway To North,"JP Nagar,Bangalore",3.9,250,"North Indian,Punjabi",Medium
Hosamane by Curryosity,"JP Nagar,Bangalore",4,250,"Indian,Andhra",High
La Fresca Pasta,"JP Nagar,Bangalore",4.1,600,"Italian,Pastas",High
Thanco's Natural Ice cream,"JP Nagar,Bangalore",3.8,200,"Ice Cream,Desserts",High
The Baker's Dozen,"JP Nagar,Bangalore",4.2,300,"Bakery,Desserts",High
Itminaan Biryani - Dum Pukht,"JP Nagar,Bangalore",3.4,400,"Biryani,North Indian",Medium
Firangi Bake,"JP Nagar,Bangalore",4.4,400,"Italian,Mexican",Medium
Chapati Factory,"JP Nagar,Bangalore",4.1,99,"Chinese,South Indian",Medium
Sahyadri Food Point,"JP Nagar,Bangalore",3.8,149,South Indian,High
Krispy Kreme,"JP Nagar,Bangalore",4.5,170,"Desserts,Beverages",High
Gowdru Mudde Mane,"JP Nagar,Bangalore",3.3,299,"South Indian,Biryani",High
Bhavani Chats and Juice,"JP Nagar,Bangalore",4,150,Fast Food,Medium
Ambur Star Briyani Since 1890,"JP Nagar,Bangalore",4.1,199,"North Indian,Chinese",Low
Bombay Kulfis,"JP Nagar,Bangalore",4.6,100,"Ice Cream,Desserts",High
MAYA MOMO SHOP,"HSR,Bangalore",4.6,220,"Chinese,Tibetan",Low
Al Fazal Biriyani House,"HSR,Bangalore",3.2,250,"Indian,Biryani",Medium
Slicewich,"HSR,Bangalore",3.2,99,"American,Juices",Medium
MDP Coffee House,"HSR,Bangalore",4.2,150,"South Indian,Beverages",High
Sandwich Eats,"HSR,Bangalore",4.1,99,"Indian,Snacks",High
Biryani Trip,"HSR,Bangalore",4.1,400,"Biryani,Hyderabadi",High
THE MOONG ZONE,"HSR,Bangalore",3.2,300,Indian,High
MIRCHI MAHARAJ,"HSR,Bangalore",3.4,200,"Indian,Chinese",High
Dande's Hyderabad Biryani,"HSR,Bangalore",3.3,350,"Biryani,Andhra",Medium
Singh Da Punjabi Dhaba,"HSR,Bangalore",3.9,200,"Chinese,Mughlai",Medium
Nanda's,"HSR,Bangalore",4,400,"Andhra,Biryani",Medium
Village Donne Biryani,"HSR,Bangalore",3.5,260,Biryani,Medium
The Humble Pie,"HSR,Bangalore",4.6,200,Desserts,Medium
PUNJAB TIME,"HSR,Bangalore",3.1,99,"Punjabi,North Indian",High
JENIS RESTAURANT,"HSR,Bangalore",4.1,250,"Indian,Chinese",High
Akshara royal Andhra food,"HSR,Bangalore",3.8,150,Andhra,High
Khai Khai,"HSR,Bangalore",4.1,500,"Bengali,Biryani",High
The Golden Bowl,"HSR,Bangalore",3.9,200,"Indian,North Indian",High
Bengali BigFish,"HSR,Bangalore",3.7,300,"Bengali,Chinese",High
Gourmet Kitchen,"HSR,Bangalore",4.1,300,Indian,Medium
Smoke House Deli,"HSR,Bangalore",4.3,600,"Italian,Continental",High
Arya's Kitchens,"HSR,Bangalore",4.1,300,"Maharashtrian,North Indian",High
Theory Of Omelette,"HSR,Bangalore",4.5,400,"Continental,European",Medium
Tea Brew,"HSR,Bangalore",4,300,"American,Italian",High
Polar bear,"HSR,Bangalore",4.4,350,"Ice Cream,Beverages",High
Simpli Tiffins,"HSR,Bangalore",3.8,150,South Indian,Medium
Hotel Manu,"HSR,Bangalore",3.7,350,"South Indian,Kerala",High
Saucy Wok,"HSR,Bangalore",3.4,400,"Chinese,Pan-Asian",High
Puneri Vada,"HSR,Bangalore",4,75,"Snacks,North Indian",Medium
HSR Dum Biryani,"HSR,Bangalore",3.9,200,"Indian,Biryani",High
Chaayos Chai+Snacks=Relax,"HSR,Bangalore",4.4,250,"Bakery,Beverages",High
Cupcake Bliss Cakes & Desserts,"HSR,Bangalore",3.8,200,"Bakery,Desserts",High
Gowdru jonne biriyani,"HSR,Bangalore",3.4,200,"South Indian,Indian",High
Home Plate by EatFit,"Indiranagar,Bangalore",4.2,160,"North Indian,Home Food",High
