name,location,ratings,cost,cuisine,cost category
Hyderabadi Kitchen,"Whitefield,Bangalore",3,300,Biryani,Medium
TN 81,"Whitefield,Bangalore",3.7,200,"Chettinad,South Indian",Medium
Bakingo,"Whitefield,Bangalore",3.9,299,"Bakery,Desserts",Medium
Gunttor Mirchi,"Whitefield,Bangalore",3.2,300,"Andhra,Chinese",Medium
Polar Bear,"Whitefield,Bangalore",4.5,400,"Ice Cream,Desserts",Medium
Bedouin's Shawarma And More,"Whitefield,Bangalore",1.9,250,"Arabian,Fast Food",High
Bengali Flavours,"Whitefield,Bangalore",3.2,500,Bengali,Medium
Smoodies & Juices: Yours Fruitfully,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,140,"Snacks,Healthy Food",High
Crosstownjapan,"Kammanahalli/Kalyan Nagar,Bangalore",3.8,1200,"Japanese,Asian",Low
Prowl Foods By Tiger Shroff,"Kammanahalli/Kalyan Nagar,Bangalore",4,500,"North Indian,Continental",High
The Biryani Life,"Kammanahalli/Kalyan Nagar,Bangalore",3.3,250,"Biryani,Hyderabadi",High
Natural Ice Cream,"Kammanahalli/Kalyan Nagar,Bangalore",4.6,150,Ice Cream,Medium
Easy Bites by Hotel Empire,"Kammanahalli/Kalyan Nagar,Bangalore",3.8,200,"Snacks,Fast Food",Low
The Thick Shake Factory,"Kammanahalli/Kalyan Nagar,Bangalore",4.3,200,"Ice Cream,Beverages",High
Pizza Theatre,"Kammanahalli/Kalyan Nagar,Bangalore",3.4,400,"Italian,American",Medium
Ahara,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,300,"South Indian,Biryani",Medium
Maraheb Restaurant,"Kammanahalli/Kalyan Nagar,Bangalore",4,600,Arabian,High
3 Mangos,"Kammanahalli/Kalyan Nagar,Bangalore",3.7,100,"Juices,Ice Cream",High
Skoosh Bubble Tea - No Tapioca,"Kammanahalli/Kalyan Nagar,Bangalore",4.5,300,Beverages,Low
Nirula's,"Kammanahalli/Kalyan Nagar,Bangalore",4.2,400,"Desserts,Ice Cream",Medium
Sreeraj Lassi Bar,"Kammanahalli/Kalyan Nagar,Bangalore",4.4,250,"Beverages,Desserts",Medium
LunchBox - Meals and Thalis,"Kammanahalli/Kalyan Nagar,Bangalore",4,200,"North Indian,Punjabi",Medium
Based On A True Story -Bistro,"Kammanahalli/Kalyan Nagar,Bangalore",4.2,600,"Pastas,Continental",Medium
Truffles,"Kammanahalli/Kalyan Nagar,Bangalore",4.4,450,"American,Desserts",High
The Sugar Free Keto Kafe - By Artinci,"Kammanahalli/Kalyan Nagar,Bangalore",4.3,200,"Ice Cream,Healthy Food",High
Lucknow Express,"Kammanahalli/Kalyan Nagar,Bangalore",3.8,10,"North Indian,Thalis",High
Behrouz Biryani,"Kammanahalli/Kalyan Nagar,Bangalore",4,500,"Biryani,Mughlai",High
KFC,"Kammanahalli/Kalyan Nagar,Bangalore",3.9,400,"American,Snacks",Medium
Artinci - Indulge Guilt Free!,"Kammanahalli/Kalyan Nagar,Bangalore",4.3,200,"Ice Cream,Healthy Food",Medium
Grameen Kulfi,"Kammanahalli/Kalyan Nagar,Bangalore",4.7,120,"Ice Cream,Desserts",High
The Betel Leaf Co.,"Kammanahalli/Kalyan Nagar,Bangalore",4.6,200,"Paan,Desserts",High
Ghee and Turmeric,"Kammanahalli/Kalyan Nagar,Bangalore",3.7,500,"North Indian,Tandoor",High
KUNAFA WORLD,"Kammanahalli/Kalyan Nagar,Bangalore",4.4,500,Desserts,Medium
Oh My Shawarma,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,200,Arabian,Medium
7 Plates,"Kammanahalli/Kalyan Nagar,Bangalore",4,450,"Biryani,Chinese",Medium
BASMATI'S BRIYANI NATION,"Kammanahalli/Kalyan Nagar,Bangalore",3.1,300,"Biryani,Andhra",High
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Kammanahalli/Kalyan Nagar,Bangalore",3.9,250,"Beverages,Desserts",Medium
MIDDLE EAST RESTAURANT,"Kammanahalli/Kalyan Nagar,Bangalore",4,400,North Indian,High
The Local,"Kammanahalli/Kalyan Nagar,Bangalore",4.2,900,"American,Biryani",High
Nandhana Palace,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,500,"Biryani,Andhra",High
The Dessert Zone,"Kammanahalli/Kalyan Nagar,Bangalore",3.5,200,"Bakery,Desserts",High
SMOOR,"Kammanahalli/Kalyan Nagar,Bangalore",4.5,600,"Asian,Desserts",Medium
Dilli Wale Parathe,"Kammanahalli/Kalyan Nagar,Bangalore",3.7,250,North Indian,High
Peking Orient,"Kammanahalli/Kalyan Nagar,Bangalore",4.2,500,"Chinese,Continental",High
The Belgian Waffle Co.,"Kammanahalli/Kalyan Nagar,Bangalore",4.3,200,Desserts,Medium
The Good Food Restaurant,"Kammanahalli/Kalyan Nagar,Bangalore",3.9,500,"Biryani,Indian",Medium
Thalassery Cafe,"Kammanahalli/Kalyan Nagar,Bangalore",4,100,"Kerala,Snacks",Medium
Chaat Street,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,200,"Fast Food,Snacks",High
Chung's Chinese Corner,"Kammanahalli/Kalyan Nagar,Bangalore",4.2,350,"Chinese,Asian",Medium
Chaat Street Express,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,200,"North Indian,Jain",Medium
Kolkatta Famous Kati Roll,"Kammanahalli/Kalyan Nagar,Bangalore",4.3,80,Indian,High
McDonald's Gourmet Burger Collection,"Kammanahalli/Kalyan Nagar,Bangalore",4,600,"Burgers,Beverages",High
Chandni Chowk 2 Bangalore,"Kammanahalli/Kalyan Nagar,Bangalore",3.8,300,"Mughlai,Punjabi",High
Foodism.in,"Kammanahalli/Kalyan Nagar,Bangalore",3.8,300,"Home Food,North Indian",High
Chaayos Chai+Snacks=Relax,"Kammanahalli/Kalyan Nagar,Bangalore",4.4,250,"Bakery,Beverages",Medium
Samosa Party,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,100,"Chaat,North Indian",Medium
The Indian Dhaba,"Kammanahalli/Kalyan Nagar,Bangalore",3.9,400,"Kebabs,Mughlai",Low
The IceCream Zone,"Kammanahalli/Kalyan Nagar,Bangalore",4.7,250,"Ice Cream,Desserts",Medium
Al Ameen Rolls Corner,"Kammanahalli/Kalyan Nagar,Bangalore",3.4,200,Street Food,Medium
Chinese BAE,"Kammanahalli/Kalyan Nagar,Bangalore",4,400,"Chinese,Thai",Medium
New Krishna Sagar,"Kammanahalli/Kalyan Nagar,Bangalore",4.2,500,"Chinese,South Indian",Medium
Biswal's Food Circle,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,300,"Oriya,Bengali",Medium
Kaati Zone Rolls & Wraps,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,150,"Beverages,Bengali",Medium
Angaar Resturant,"Kammanahalli/Kalyan Nagar,Bangalore",4,500,"Indian,Chinese",Low
Madurai Idly Shop,"Kammanahalli/Kalyan Nagar,Bangalore",3.6,150,South Indian,Medium
Lovespell Icecream,"Kammanahalli/Kalyan Nagar,Bangalore",4.3,300,"Ice Cream,Desserts",High
canecrush,"Kammanahalli/Kalyan Nagar,Bangalore",4.3,70,Beverages,Medium
Five Star Chicken,"Kammanahalli/Kalyan Nagar,Bangalore",4.1,300,Fast Food,Low
Kolkata Famous Kati Roll,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,200,North Indian,Medium
Just Shawarma,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,150,Arabian,Medium
IBACO,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.4,200,Ice Cream,High
Five Star Chicken,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,300,Fast Food,High
Brundavan Upachar,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.2,200,"North Indian,Chinese",Medium
Bake Delite,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,400,"Desserts,Street Food",Medium
Nammura Upahara,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,200,"South Indian,Combo",High
Kanti Sweets,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.5,500,Sweets,Medium
Badhyas,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.9,200,Indian,High
@Italy,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,400,Italian,High
Lassi Shop,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.3,200,Beverages,High
Recipe Restaurant,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,300,"North Indian,Chinese",Medium
Amma's Pastries,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,350,"Bakery,Desserts",Medium
The House Of Vadapav,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,200,Fast Food,High
Royale Rolls,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.7,250,Continental,High
Polar Bear,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.5,300,"Ice Cream,Desserts",High
Karavali Lunch Home - Kumaraswamy Layout,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.4,250,"Coastal,Seafood",High
South Grand,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,400,"Street Food,North Indian",High
EAT N DRNK,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,300,"Indian,Snacks",Medium
The Bengal Club,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,250,"Bengali,Biryani",High
ANAGHA GRAND VEG,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,200,"Indian,Oriental",High
CHAI NAGRI,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.5,350,"Beverages,Indian",Medium
Shanthi Sagar,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.5,400,"Chinese,North Indian",High
Zomoz - The Momo Company,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.2,250,"Tibetan,Chinese",Medium
Kabab King Uttarahalli,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.6,300,Indian,High
Absolute Shawarma,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,250,"Arabian,Snacks",High
PEETUK,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,250,"Bengali,Biryani",Medium
Ruchi Food Junction,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.3,300,"Chinese,Desserts",Medium
SLAY Coffee,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,200,"Beverages,Desserts",High
LunchBox - Meals and Thalis,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,300,"North Indian,Punjabi",High
Roll N Rock,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,250,"Fast Food,North Indian",High
Absolute Momo Cafe,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,250,"Chinese,Snacks",High
Donne biriyani corner,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,600,"South Indian,Biryani",High
Dwaraka Grand,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,500,"Street Food,North Indian",High
Ande Ka Funda,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,250,"Street Food,North Indian",High
Domino's Pizza,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,400,Pizzas,Medium
Hari Super Sandwich,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,150,Snacks,Medium
SMOOR,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.6,350,"Desserts,Bakery",High
Healthy Chef,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.5,200,"Salads,North Indian",High
Chinese Wok (Wok Express),"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,250,"Chinese,Asian",High
Hotel Prashanth,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,150,South Indian,High
Puliyogare Palace,"Kumaraswamy Layout & Uttarahalli,Bangalore",2.1,250,"South Indian,Desserts",High
Street8Cafe,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.9,300,"Fast Food,Indian",Medium
Dindigul Thalappakatti,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.7,500,"Biryani,Barbecue",Medium
Rajathadri Palace,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,500,"Indian,Chinese",Medium
Manjushrees Gowdru Mudde Mane,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.2,350,"South Indian,Biryani",High
San Tung Chinese,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,250,"Chinese,Tibetan",High
Biryani Khazana,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.6,300,Biryani,High
Goli Vada Pav No .1,"Kumaraswamy Layout & Uttarahalli,Bangalore",4,100,"Maharashtrian,North Indian",High
C Corner,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,200,Fast Food,Low
SWAD KOLHAPURI,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.5,400,"Maharashtrian,Indian",High
SLV REFRESHMENT,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,100,Indian,High
Mad Over Donuts,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,200,"Desserts,Sweets",High
Goli Vada Pav No. 1,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,100,"Maharashtrian,North Indian",High
New Biryani Mane,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,250,"Biryani,North Indian",High
UDUPI SWADA,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.1,200,"Chinese,North Indian",High
Sri Krishna Aramane,"Kumaraswamy Layout & Uttarahalli,Bangalore",4.3,150,"Asian,Chinese",High
Olive - Era,"Kumaraswamy Layout & Uttarahalli,Bangalore",3.8,440,"Chinese,South Indian",Low
Kullad Cafe,"BTM,Bangalore",4,150,"North Indian,Fast Food",Medium
PUNJAB KITCHEN,"BTM,Bangalore",4.3,250,North Indian,High
The Pulkawala,"BTM,Bangalore",4.4,299,"North Indian,Indian",High
EatFit,"BTM,Bangalore",4.2,270,"Healthy Food,Pizzas",Medium
Pizza Hut,"BTM,Bangalore",4,350,Pizzas,Medium
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","BTM,Bangalore",4.4,250,"Beverages,Desserts",Medium
Bathinda Tandoor,"BTM,Bangalore",3.6,300,"Punjabi,North Indian",Medium
Madras Meal Company,"BTM,Bangalore",3.9,350,"South Indian,Chettinad",High
Jose Mess,"BTM,Bangalore",4.3,200,Indian,Medium
MODERN LOVERS CAKE,"BTM,Bangalore",4.7,300,Bakery,Medium
PARATHA WALI,"BTM,Bangalore",4,300,"Chinese,North Indian",Medium
Ghar Ka Khana,"BTM,Bangalore",4.2,300,"Thalis,North Indian",High
Narmadha's Hyderabad Biriyani,"BTM,Bangalore",3.7,300,Indian,Medium
Canteen Central by Eatfit,"BTM,Bangalore",4.4,350,"Pizzas,American",High
The Manchurian,"BTM,Bangalore",4.4,150,"Chinese,Snacks",Medium
MY KHANA,"BTM,Bangalore",3.8,199,"North Indian,Indian",Low
NIC Natural Ice Creams,"BTM,Bangalore",4.6,120,"Ice Cream,Desserts",High
The Icecream Zone,"BTM,Bangalore",3.3,300,"Home Food,North Indian",High
Sri Punjabi Dhaba,"BTM,Bangalore",2.7,300,"North Indian,Biryani",Medium
Shahenshah Biryani,"BTM,Bangalore",2.8,400,Indian,Medium
Five star chicken,"BTM,Bangalore",3.8,250,Snacks,High
IBC ( Indian Biryani Company),"BTM,Bangalore",3.7,300,"Biryani,South Indian",Medium
The Royal Biryani Story,"BTM,Bangalore",3.7,299,"Biryani,Hyderabadi",High
Fitnes Nation,"BTM,Bangalore",4.2,350,"North Indian,Healthy Food",High
Kerala Biryani Corner,"BTM,Bangalore",3.5,200,"Biryani,Indian",High
NEW ARAMANE DONNE BIRIYANI,"BTM,Bangalore",4.4,250,"Biryani,North Indian",Medium
Pastas By Pizza Hut,"BTM,Bangalore",3.8,300,"Pastas,Pizzas",High
Combo Plates,"BTM,Bangalore",3.5,250,"Grill,Arabian",High
The Dessert Zone,"BTM,Bangalore",4,200,"Bakery,Desserts",High
AB s-Absolute Barbecues,"BTM,Bangalore",3.6,400,"Barbecue,Biryani",Medium
Shapana dhaba,"BTM,Bangalore",3.7,150,"Chinese,North Indian",High
Udupi Athithya,"BTM,Bangalore",4,130,"South Indian,North Indian",High
King of Briyani,"BTM,Bangalore",1.8,350,"North Indian,Chinese",High
Pizza Corner House,"BTM,Bangalore",3.8,300,"Pizzas,Combo",High
Bismillah Hotel,"BTM,Bangalore",3.6,200,Chinese,High
Kalingas,"BTM,Bangalore",4.2,200,"North Indian,Oriya",High
Wonton,"BTM,Bangalore",3.9,350,Chinese,Medium
Svadu Pure Ghee sweets,"BTM,Bangalore",4.5,200,"Desserts,Sweets",High
Puneri Katta,"BTM,Bangalore",4.3,150,"Indian,Maharashtrian",High
Ice Cafe & Lassi Shop,"BTM,Bangalore",3.5,310,Beverages,Low
Food Junction,"BTM,Bangalore",4,400,"Indian,Chinese",High
The Firewood Pizza,"BTM,Bangalore",3.9,350,"Italian,Pizzas",High
Momo Zone - The Momo Company,"BTM,Bangalore",4,150,"Chinese,Tibetan",High
SRI KRISHNA SAGAR,"BTM,Bangalore",4.2,300,South Indian,Low
Bombay Kulfis,"BTM,Bangalore",4.8,150,"Ice Cream,Desserts",Medium
HARMAN DA DHABA,"BTM,Bangalore",4.2,300,"North Indian,Fast Food",High
Litti Twist,"BTM,Bangalore",4.2,250,North Indian,High
Barbeque Nation,"BTM,Bangalore",3.9,600,"North Indian,Barbecue",High
UBQ by Barbeque Nation,"BTM,Bangalore",4.2,300,"North Indian,Barbecue",High
Burger It Up,"BTM,Bangalore",4,150,"American,Fast Food",Medium
Chicken County Restaurant,"BTM,Bangalore",3.7,350,"Chinese,Grill",Low
New GFC Hotel,"BTM,Bangalore",3.4,160,"Indian,Biryani",Medium
LunchBox - Meals and Thalis,"BTM,Bangalore",4.1,200,"North Indian,Punjabi",Low
DONNE BIRIYANI HOUSE,"BTM,Bangalore",3.7,300,"Biryani,South Indian",Medium
Angel Restaurant,"BTM,Bangalore",3,200,South Indian,High
Agarwal Food Service BTM,"BTM,Bangalore",3.6,250,"Thalis,Biryani",High
"m-Aura Cafe, Kitchen & More","BTM,Bangalore",4,400,"North Indian,Mughlai",High
The Daily Meal,"BTM,Bangalore",3,250,North Indian,High
Auntie Fung's,"BTM,Bangalore",4,600,"Asian,Chinese",High
Ambur Star Briyani Since 1890,"BTM,Bangalore",4.2,500,"Biryani,Chettinad",High
TEA TIME CAFE,"BTM,Bangalore",4,200,"Beverages,Snacks",High
The Daily Bowl,"BTM,Bangalore",3.6,200,"North Indian,South Indian",High
Plan B,"BTM,Bangalore",4.4,800,American,Medium
SRI SAPANA DHABA,"BTM,Bangalore",3.2,400,"Indian,Chinese",High
Tasty Magic,"BTM,Bangalore",3.4,300,"Arabian,Biryani",High
O4H - Order For Health,"BTM,Bangalore",4.5,400,"Healthy Food,Salads",High
Burger In Moon,"BTM,Bangalore",3.8,200,"American,Fast Food",Medium
Wow! Momo,"BTM,Bangalore",4.1,250,"Tibetan,Healthy Food",Medium
SABZI AUR ROTI,"BTM,Bangalore",3.8,150,Indian,High
BIB - English Breakfast in the Box,"BTM,Bangalore",4,350,American,Low
Aubree,"Yelahanka,Bangalore",4.2,700,"Desserts,Bakery",High
Biryani By Kilo,"Yelahanka,Bangalore",3.9,500,"Biryani,Hyderabadi",High
Rolls on wheels,"Yelahanka,Bangalore",4.1,300,Snacks,High
WarmOven Cakes & Desserts,"Yelahanka,Bangalore",3.4,200,"Bakery,Desserts",Medium
Pethfull,"Yelahanka,Bangalore",3.9,200,"North Indian,Italian",Medium
Cupcake Bliss Cakes & Desserts,"Yelahanka,Bangalore",4,200,"Bakery,Desserts",Medium
Kaati Zone Rolls & Wraps,"Yelahanka,Bangalore",4.1,150,Beverages,High
Taste Of India,"Yelahanka,Bangalore",4.6,400,"North Indian,Chinese",High
Barbeque Nation,"Yelahanka,Bangalore",3.9,600,"North Indian,Barbecue",High
KFC,"Yelahanka,Bangalore",3.7,400,"American,Snacks",High
Potful - Claypot Biryanis,"Yelahanka,Bangalore",4.2,500,"Biryani,Kebabs",High
Ambur Hot Dum Biryani,"Yelahanka,Bangalore",3.7,450,"North Indian,South Indian",High
Davangere Benne Dosa,"Yelahanka,Bangalore",4.3,150,South Indian,Medium
A2B Veg,"Yelahanka,Bangalore",4,300,"South Indian,North Indian",High
Sundae Everyday Ice Creams,"Yelahanka,Bangalore",4.1,150,Ice Cream,Medium
The Dessert Heaven - Pure Veg,"Yelahanka,Bangalore",4.1,200,"Bakery,Desserts",High
Bakers Street,"Yelahanka,Bangalore",4,200,"Bakery,Chaat",Medium
Thalassery Restaurant,"Yelahanka,Bangalore",3.8,300,"South Indian,Biryani",Medium
HRX by Eatfit,"Yelahanka,Bangalore",5,270,"Healthy Food,Pizzas",High
Al Falah,"Yelahanka,Bangalore",3.8,280,"Chinese,Kerala",Medium
FIVE STAR CHICKEN AND KOLI HUT,"Yelahanka,Bangalore",4.4,200,"Fast Food,American",Medium
GOLI VADA PAV NO 1,"Yelahanka,Bangalore",4.3,200,"Street Food,North Indian",Medium
Chef Bakers,"Yelahanka,Bangalore",3.8,300,Bakery,High
Indiana Burgers,"Yelahanka,Bangalore",4.2,150,American,High
Desii Panda,"Yelahanka,Bangalore",4.3,400,North Indian,Low
California Burrito,"Yelahanka,Bangalore",4.4,250,"Mexican,American",Medium
Sri Curries,"Yelahanka,Bangalore",3.9,300,"Andhra,Biryani",High
Bk AMBUR DUM BIRYANI,"Yelahanka,Bangalore",4.1,150,Biryani,High
Sri bahubali Andhra style family restaurant,"Yelahanka,Bangalore",4.2,250,"North Indian,Biryani",High
Donne Biriyani Mane,"Yelahanka,Bangalore",3.6,300,"North Indian,Chinese",High
Reddy Home Mess,"Yelahanka,Bangalore",4.2,200,"Andhra,Biryani",Medium
THARAVADU MALABAR BIRYANI,"Yelahanka,Bangalore",3.1,230,"Kerala,Biryani",Medium
SMOOTHY STORE,"Yelahanka,Bangalore",4.4,300,Beverages,High
Beijing Bites,"Yelahanka,Bangalore",4.2,450,"Asian,Chinese",Medium
South Junction Restaurant,"Yelahanka,Bangalore",4,200,"Kerala,South Indian",High
Momos and Twistatoes,"Yelahanka,Bangalore",4.4,250,Chinese,High
